tx_hash,block_number,block_time,tx_from,num_swaps,swap_path,pools,projects,profit_usd,gas_cost_usd,net_profit_usd,token_balances
0x52c7b7fc79caf9db3e2ed0802f72b10e610b67a286b2a2c07abc375b2167f51b,176366057,2024-02-01 11:01:54.000 UTC,0xd633a88b90f075947d9d08a764830fcada75fd4e,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.681390,0.210589,5.470801,WETH:+0.00250583($+5.6814); WBTC:+0.00000000($+0.0000)
0xe51d43e64fc8b52895d2d1ae0ad29925219cdd1828d992e253e20d8622781d2e,176366102,2024-02-01 11:02:06.000 UTC,0x7f6d2b6aefaebb67926c7892548a6b18519d8cd5,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",0.233388,0.110769,0.122619,WETH:+0.00010294($+0.2334); WBTC:+0.00000000($+0.0000)
0x13d11bb280efd09bb527669b2c08cdb938e705bdbd964271d3ab201fa4d4f34a,176366249,2024-02-01 11:02:43.000 UTC,0x948fd10a31b8cbf0786117de4a2190b04cc4fffc,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.694074,0.210587,5.483486,WETH:+0.00251145($+5.6941); WBTC:+0.00000000($+0.0000)
0xab04391d093447935a0b8cb494764788e5787add81367100cc655be8f038fef1,176366327,2024-02-01 11:03:03.000 UTC,0x34c304475cb72015be6b9d66690f0c93c850e68a,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.698782,0.210587,5.488195,WETH:+0.00251353($+5.6988); WBTC:+0.00000000($+0.0000)
0x5074f38fb1b42dae6646669c772310d9b45cffa325f746602d4d7eaa97539c7b,176366354,2024-02-01 11:03:10.000 UTC,0x66179d2428e15e4043467f7a06950b85cd847c85,3,WETH → WBTC → USD₮0 → WETH,uniswap:0x2f5e87c9 | uniswap:0x5969efdd | arbswap:0xa2d807f2,"uniswap, uniswap, arbswap",0.783345,0.265151,0.518195,WETH:+0.00034551($+0.7833); WBTC:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x99545d9e08093125bf7f17d20c4aacec3f4befd7d580d6e83e029a34711d17cd,176366421,2024-02-01 11:03:26.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.898329,0.134504,12.763825,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6326478.31265610($+12.8983)
0x301cc50ed51ccf59d1f707b18ab049505995e400aaa897a1fd61771d10fce5c9,176366614,2024-02-01 11:04:15.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.695442,0.136076,12.559366,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6323422.59464866($+12.6954)
0x1274b1f4308000c30c0fa384da6fc1e6191be858c93b06b1d410e48318cc1e24,176366707,2024-02-01 11:04:40.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.399660,0.134502,12.265158,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6270885.75473982($+12.3997)
0xfde1153f2468bff5445566d801d74ffb5a27648ba6751e2cc400029cfb7843ac,176366979,2024-02-01 11:05:50.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.088119,0.134506,11.953613,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6206527.95493692($+12.0881)
0x2dd64693722c4d37a5b107429e9fc9062a586e096f44734729ab9f451359f77c,176367163,2024-02-01 11:06:38.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",11.845497,0.134506,11.710991,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6173946.91509360($+11.8455)
0x07ede5641068598a2312d792d1e1bd3fee5a57d6e18138d5e9df11604c847e71,176367315,2024-02-01 11:07:15.000 UTC,0x4309e9fe87a0842315feb30752cd1d495796a043,3,WETH → Avive → USD₮0 → WETH,uniswap:0xc517a808 | uniswap:0x633fb81b | uniswap:0x42161084,"uniswap, uniswap, uniswap",0.166226,0.160241,0.005985,WETH:+0.00000000($+0.0000); Avive:+0.00000000($+0.0000); USD₮0:+0.16623500($+0.1662)
0x152d255fa545329ba9c1c980f2ed83cd207521791d346cef1d0659e919893f86,176367334,2024-02-01 11:07:20.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",11.576557,0.149101,11.427456,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6124307.85250282($+11.5766)
0xe2519af9d0d1dad835619badf13c7637fdc6263274cbabeebeb25afcdc770c62,176367515,2024-02-01 11:08:07.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,EQB → WETH → EQB,camelot:0x69b54599 | uniswap:0xfd8c56fb,"camelot, uniswap",3.242380,0.135176,3.107204,EQB:+0.00000000($+0.0000); WETH:+0.00142903($+3.2424)
0x53b3d71b936cca020eb533c671c04166da0741ac65dfa088fe8b96d660ddf2fc,176367869,2024-02-01 11:09:38.000 UTC,0x889668bc32da1c4a5072df7c8c694e240273ca87,2,WETH → USDC → WETH,uniswap:0xe754841b | uniswap:0xc31e54c7,"uniswap, uniswap",1.010293,0.234525,0.775768,WETH:+0.00044440($+1.0103); USDC:+0.00000000($+0.0000)
0xb2835bfb15a19153ca03505f9d2a2d6e0b592006aa633add9e8a8b874296299e,176368192,2024-02-01 11:11:01.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",15.763756,0.141929,15.621827,WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000); BEEF:+8166698.91244799($+15.7638)
0xfb1b1b867add40728cfcec1991cc35d1f3bcfeb95f1d8444f2ae4f543e6bbd33,176368238,2024-02-01 11:11:13.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,XPET → WETH → XPET,uniswap:0x3a203ce9 | uniswap:0xa67f72f2,"uniswap, uniswap",0.308224,0.139929,0.168295,XPET:+0.00000000($+0.0000); WETH:+0.00013589($+0.3082)
0x0a1776be557c61c4791146727ae39016c3e74d3f0e739a639f88eb33cf20d741,176368278,2024-02-01 11:11:23.000 UTC,0xa0d8d83fc49c6314720c18ede5ac59928c61f28d,2,WETH → GENE → WETH,camelot:0xa0c79678 | uniswap:0x52b4657f,"camelot, uniswap",34.744030,0.234540,34.509490,WETH:+0.01531789($+34.7440); GENE:+0.00000000($+0.0000)
0xa96f767785af682a8c99f36efe9f39310ca404f4b48c8dde855449e3428abbe3,176368704,2024-02-01 11:13:14.000 UTC,0x752bb9ed069da6dcdfba1d5c63d7330921fa4006,3,WETH → USDC → MAI → WETH,uniswap:0xc31e54c7 | ramses:0x3c6ef5ed | uniswap:0x1cc436ee,"uniswap, ramses, uniswap",4.332475,0.306515,4.025959,WETH:+0.00191152($+4.3325); USDC:+0.00000000($+0.0000); MAI:+0.00000000($+0.0000)
0x169621fb1da7e49a932cfbb2f8830d43d45aa1678cb6c825c8f4de98841e222e,176368965,2024-02-01 11:14:19.000 UTC,0xb07dc98d4b30b3f8c6fc230b353d61a3266abc0d,2,WETH → USDC → WETH,uniswap:0x6f38e884 | uniswap:0xc6962004,"uniswap, uniswap",2.219120,0.202784,2.016336,WETH:+0.00097590($+2.2191); USDC:+0.00000000($+0.0000)
0x59a5b2e4410f599304bde86634f2c5fca3ca82b2ef6d9d0da8002d2d3bf3fd6b,176368968,2024-02-01 11:14:20.000 UTC,0x10ce5fd08d7c220a17f597605e830c04da4156dd,2,WETH → XAI → WETH,trader_joe:0x6307f045 | uniswap:0x03a33aee,"trader_joe, uniswap",0.424169,0.123754,0.300415,WETH:+0.00018701($+0.4242); XAI:+0.00000000($+0.0000)
0xf583ac5059a38dd7cd8329135ac0dbf6f4d5feff49a48a996fe5a3d6e63437d8,176368979,2024-02-01 11:14:23.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",14.403814,0.131299,14.272515,WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000); BEEF:+7309662.90466446($+14.4038)
0xd12abdb997309c88e31052df35195e27b53b4405537ba53c65c3eda7a3896d6e,176369045,2024-02-01 11:14:39.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",14.874966,0.131297,14.743669,WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000); BEEF:+7257866.99883169($+14.8750)
0x67c6b91b70d6d63a8bb1c2e48f7413a97e6451c37cfcb6b0761f3822dc9ef1a4,176369322,2024-02-01 11:15:50.000 UTC,0xb93271bd9bb01dd43890e587e8041c3ff4815a9d,3,WETH → tBTC → WBTC → WETH,uniswap:0xcb198a55 | balancer:0x542f16da | camelot:0x96059759,"uniswap, balancer, camelot",0.712041,0.276506,0.435535,WETH:+0.00031387($+0.7120); tBTC:+0.00000000($+0.0000); WBTC:+0.00000000($+0.0000)
0x42939bd6c4883f4d6bca46eba865b6ce6e22c74210822354cb8a447df5c3f389,176370725,2024-02-01 11:21:50.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,ARB → WETH → ARB,solidly:0x46b66c5e | ramses:0x6ce9bc2d,"solidly, ramses",0.338369,0.133680,0.204688,ARB:+0.00000000($+0.0000); WETH:+0.00014918($+0.3384)
0x7194e52f4dab91d150ff4ec5ea7568c6fc50fd21fc5268c0f5ba70847cb5fbcb,176370878,2024-02-01 11:22:29.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,ARB → USDC → ARB,camelot:0xfae2ae0a | uniswap:0xb0f6ca40,"camelot, uniswap",0.199989,0.000119,0.199871,ARB:+0.00000000($+0.0000); USDC:+0.19986700($+0.2000)
0x1e85ecb4eb331d31c726f3dc91a23651490d5b9edba757ca8e4ac56e04c67404,176371195,2024-02-01 11:23:52.000 UTC,0xf304667f79420b93e7f85a425fce3d5d302dcf39,3,ARB → MCB → USDC → ARB,uniswap:0x82f223c5 | uniswap:0xcb7a3a9e | uniswap:0xcda53b1f,"uniswap, uniswap, uniswap",0.213287,0.000170,0.213117,ARB:+0.00000000($+0.0000); MCB:+0.00000000($+0.0000); USDC:+0.21315700($+0.2133)
0xe7722bbf8a2e56a3417060793f37aadfc35c76c77b2e9d1ee53819c22ddc72a2,176371245,2024-02-01 11:24:04.000 UTC,0x00b794e8d213395d1133d742c0555de93a30b314,3,AVVP → ARBINU → WETH → AVVP,sushiswap:0xd2988931 | sushiswap:0xa2718267 | uniswap:0x569f2c72,"sushiswap, sushiswap, uniswap",0.586687,0.135715,0.450973,AVVP:+0.00000000($+0.0000); ARBINU:+2492.88606298($+0.0000); WETH:+0.00025867($+0.5867)
0xd1174ad903eb7853dc79286b98a43e3df6712948cb50609882472175f910c565,176371985,2024-02-01 11:27:14.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",92.253486,0.186949,92.066538,WETH:+0.01745757($+39.5743); USD₮0:+0.00000000($+0.0000); BEEF:+25114959.27639651($+52.6792)
0xabfb387fce6c16b8bb0f5e08bd87797b591bc3f527c65e235dfb12849fa9aa28,176371992,2024-02-01 11:27:16.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",10.446892,0.144315,10.302576,WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000); BEEF:+4874738.04535198($+10.4469)
0xe76ca9e964ef5ba7d9e7e4f2db8260985504dfeb62030a78478c4b1d4abe5abd,176372487,2024-02-01 11:29:28.000 UTC,0x733ecf974ef30e9d6b556bfc138a806b91f91fa6,2,WETH → USDC → WETH,uniswap:0xe754841b | uniswap:0xc31e54c7,"uniswap, uniswap",0.926522,0.241366,0.685155,WETH:+0.00040760($+0.9265); USDC:+0.00000000($+0.0000)
0xc911cccebf73a91dbc460ee8651a43c4158db98ac759a958cd6a5efd71274b25,176372499,2024-02-01 11:29:31.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",8.223710,0.183929,8.039781,WETH:+0.00038494($+0.8726); USD₮0:+0.00000000($+0.0000); BEEF:+3304408.18105370($+7.3511)
0x71560043ac2763d765de7e3c20b2fd593144f4b05e372a3254b13a2c12e82746,176372504,2024-02-01 11:29:32.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,WETH → USD₮0 → BEEF → WETH,uniswap:0x641c00a8 | sushiswap:0x82441f1c | sushiswap:0xa568b3e3,"uniswap, sushiswap, sushiswap",15.236970,0.144317,15.092653,WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000); BEEF:+6779698.48282725($+15.2370)
0xfd93258b948bf248b855827035671f81008798489ca8db3fbcebbb1735e9e259,176372729,2024-02-01 11:30:32.000 UTC,0xea46913315cb2b91eef41e8fa6fc1bd51f01ae73,2,WETH → EQB → WETH,uniswap:0x43ca6486 | camelot:0x69b54599,"uniswap, camelot",1.461779,0.241320,1.220460,WETH:+0.00064457($+1.4618); EQB:+0.00000000($+0.0000)
0xabaf3a0f6893d9b8ab5577134c75e7bf6f17bf2956e966dfaa55d4f5629e924f,176373202,2024-02-01 11:32:39.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,3,WETH → ARB → USDC → WETH,solidly:0x46b66c5e | uniswap:0xcda53b1f | uniswap:0xc31e54c7,"solidly, uniswap, uniswap",0.560529,0.177586,0.382943,WETH:+0.00000000($+0.0000); ARB:+0.00000000($+0.0000); USDC:+0.56020400($+0.5605)
0x22ceefaa5092187b79dcdf1f1607b021a8d48de02bcf2c4f140ea37f8a6b6d9d,176373306,2024-02-01 11:33:03.000 UTC,0x172d5333b73569befb933be154f2cdef39f2c561,3,WETH → USDC → USD₮0 → WETH,uniswap:0xc31e54c7 | arbswap:0x17f74f88 | trader_joe:0xd387c40a,"uniswap, arbswap, trader_joe",0.566930,0.320932,0.245998,WETH:+0.00024852($+0.5637); USDC:+0.00000000($+0.0000); USD₮0:+0.00325100($+0.0033)
0x2dc24516d4b2b808558d5d4000ba6a8013b81b0c30da2fa4287cdb8e710e8509,176373587,2024-02-01 11:34:17.000 UTC,0x7f6d2b6aefaebb67926c7892548a6b18519d8cd5,2,WETH → AICODE → WETH,uniswap:0x2a31b63c | camelot:0x6ecc7f20,"uniswap, camelot",0.412697,0.143471,0.269227,WETH:+0.00018198($+0.4127); AICODE:+0.00000000($+0.0000)
0xef9c47a10f738c8502003049d956dd70fde00c4ff16978dc55075ea5b430075e,176373613,2024-02-01 11:34:24.000 UTC,0x10ce5fd08d7c220a17f597605e830c04da4156dd,2,WETH → AICODE → WETH,uniswap:0x2a31b63c | uniswap:0xe6a9333b,"uniswap, uniswap",0.229122,0.144389,0.084733,WETH:+0.00010103($+0.2291); AICODE:+0.00000000($+0.0000)
0xcdfd02fe6b49352a2b8ae4e341c3d693910038c4174b01dabb44037c6655d45d,176374045,2024-02-01 11:36:22.000 UTC,0xd080bd84d028dcc46dadf364308f52bd2c16afb3,3,WETH → USDC → WBTC → WETH,uniswap:0xc6962004 | uniswap:0x0e483131 | camelot:0x96059759,"uniswap, uniswap, camelot",12.407078,0.330819,12.076259,WETH:+0.00546884($+12.4071); USDC:+0.00000000($+0.0000); WBTC:+0.00000000($+0.0000)
0xcf944b55deb5b79e84f8a6aa7ca297a2db6dad9129b2b5283f6435057166cd74,176375545,2024-02-01 11:43:00.000 UTC,0x2ca92d157ea356016449ef870c107d2d7268ed62,3,WETH → USDC → WBTC → WETH,sushiswap:0x15e444da | uniswap:0xac70bd92 | sushiswap:0x6f10667f,"sushiswap, uniswap, sushiswap",1.585960,0.311728,1.274232,WETH:+0.00069827($+1.5860); USDC:+0.00000000($+0.0000); WBTC:+0.00000000($+0.0000)
0x547cec773d6030c1cb755cf9b77af64de8d87d0433fed457fad1452a65d2909c,176375545,2024-02-01 11:43:00.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | sushiswap:0x515e252b,"uniswap, sushiswap",0.553602,0.123243,0.430359,WETH:+0.00000000($+0.0000); WBTC:+0.00001313($+0.5536)
0x242e1690ff0813054c3068a966d5e57c53b662b1a4033411be6f1a4d46bf0600,176375545,2024-02-01 11:43:00.000 UTC,0x10ce5fd08d7c220a17f597605e830c04da4156dd,2,USDC → WBTC → USDC,uniswap:0x0e483131 | sushiswap:0x4e5c883d,"uniswap, sushiswap",0.603188,0.000061,0.603127,USDC:+0.60281600($+0.6032); WBTC:+0.00000000($+0.0000)
0xdc0d98ae58e4647b16ef5f594de5fefeeffafe1a78782a009c69a035c005ec16,176377295,2024-02-01 11:50:42.000 UTC,0xd353ce12fec8df107e66dffe74256d588e60d7b4,2,WETH → USDC → WETH,uniswap:0xe754841b | uniswap:0xc31e54c7,"uniswap, uniswap",1.091611,0.258023,0.833588,WETH:+0.00048020($+1.0916); USDC:+0.00000000($+0.0000)
0xf6d6130799df431c0c822061800963b6c62f9fc50ba7a32f8aa2cb09a337a1bc,176377607,2024-02-01 11:52:05.000 UTC,0x845ea755b3a5fcdc904e02b39412756aeb2b9a2a,3,WETH → USD₮0 → USDC → WETH,trader_joe:0xd387c40a | trader_joe:0xfc43aaf8 | arbswap:0xbe0a388a,"trader_joe, trader_joe, arbswap",0.499510,0.303440,0.196070,WETH:+0.00022020($+0.4994); USD₮0:+0.00009600($+0.0001); USDC:+0.00000000($+0.0000)
0x7e450f55c717d31fd065b56b3c5ee83f544f50811b5767083745f9ae9069c2c9,176378359,2024-02-01 11:55:22.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,DAI → USD₮0 → DAI,balancer:0x423a1323 | uniswap:0x7f580f8a,"balancer, uniswap",0.843627,0.000069,0.843558,DAI:+0.00000000($+0.0000); USD₮0:+0.84379500($+0.8436)
0x726189955360398c70c71ad4045816f8d701edad47817d3d82a3c7b1fb0287aa,176378616,2024-02-01 11:56:31.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,GENE → WETH → GENE,camelot:0xa0c79678 | uniswap:0x52b4657f,"camelot, uniswap",3.438527,0.134490,3.304037,GENE:+0.00000000($+0.0000); WETH:+0.00151594($+3.4385)
